task,arm,boundary,transaction_group,demonstration,premature_preterminal_permits,first_terminal_hold_permit_cycle,final_terminal_hold_local_done,final_guard_evidence_available,final_guard_raw_satisfied,expected_directional_wait,final_terminal_hold_permitted,accepted
wipe_desk,single,single:0->1,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:0->1,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:0->1,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:0->1,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:0->1,,4,0,0,1,1,1,0,1,1
wipe_desk,single,single:1->2,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:1->2,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:1->2,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:1->2,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:1->2,,4,0,0,1,1,1,0,1,1
wipe_desk,single,single:2->3,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:2->3,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:2->3,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:2->3,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:2->3,,4,0,0,1,1,1,0,1,1
wipe_desk,single,single:3->4,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:3->4,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:3->4,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:3->4,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:3->4,,4,0,0,1,1,1,0,1,1
wipe_desk,single,single:4->5,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:4->5,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:4->5,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:4->5,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:4->5,,4,0,0,1,1,1,0,1,1
wipe_desk,single,single:5->6,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:5->6,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:5->6,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:5->6,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:5->6,,4,0,0,1,1,1,0,1,1
wipe_desk,single,single:6->7,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:6->7,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:6->7,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:6->7,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:6->7,,4,0,0,1,1,1,0,1,1
wipe_desk,single,single:7->8,,0,0,0,1,1,1,0,1,1
wipe_desk,single,single:7->8,,1,0,0,1,1,1,0,1,1
wipe_desk,single,single:7->8,,2,0,0,1,1,1,0,1,1
wipe_desk,single,single:7->8,,3,0,0,1,1,1,0,1,1
wipe_desk,single,single:7->8,,4,0,0,1,1,1,0,1,1
